Inapc_1,iNapc1_BG,Inapc_2,iNapc2_BG,Inapc_3,iNapc3_BG,iNapc4,iNapc4_BG,iNapc5,iNapc5_BG,iNapc6,iNapc6_BG,iNapc7,iNapc7_BG,iNapc8,iNapc8_BG,iNapc9,iNapc9_BG,iNapc10,iNapc10_BG,iNapc11,iNapc11_BG,iNapc12,iNapc12_BG
7.927,0.236,9.717,0.188,8.318,0.188,18.566,0.153,4.155,1.078,8.808,0.203,9.25,0.375,16.384,0.766,8.512,0.422,15.559,0.5,7.347,0.386,6.106,1.114
7.949,0.222,9.84,0.208,8.284,0.208,18.467,0.222,3.635,1,8.751,0.172,10.684,0.25,16.243,0.516,8.467,0.453,15.382,0.523,7.296,0.443,6.117,1.068
7.916,0.208,9.774,0.194,8.358,0.194,18.17,0.271,3.252,1.297,8.702,0.203,10.498,0.328,16.033,0.547,8.439,0.453,15.389,0.341,7.333,0.443,6.085,1.102
7.887,0.118,9.872,0.243,8.341,0.243,18.5,0.139,3.175,1.125,8.815,0.172,10.556,0.297,16.045,0.375,8.366,0.359,15.247,0.591,7.328,0.375,6.055,1
8.036,0.25,9.93,0.271,8.369,0.271,18.359,0.201,3.039,1.359,8.706,0.172,11.311,0.547,15.862,0.672,8.509,0.484,15.432,0.523,7.335,0.352,6.031,1.102
8.028,0.257,9.85,0.215,8.35,0.215,18.305,0.201,2.893,1.062,8.779,0.234,11.047,0.391,15.97,0.688,8.367,0.297,15.291,0.58,7.193,0.534,6.085,1.193
7.92,0.181,9.79,0.222,8.341,0.222,18.266,0.16,2.732,1.375,8.914,0.297,11.255,0.406,15.79,0.453,8.445,0.359,15.376,0.489,7.226,0.386,6.001,1.057
7.933,0.181,10.032,0.146,8.273,0.146,17.684,0.125,2.588,1.172,8.802,0.234,11.043,0.375,15.966,0.5,8.426,0.234,15.216,0.409,7.244,0.386,6.06,1.011
7.896,0.201,9.769,0.201,8.332,0.201,17.332,0.125,2.542,1.453,8.748,0.219,11.051,0.344,16.014,0.453,8.369,0.438,15.396,0.42,7.254,0.489,6.085,0.909
7.893,0.229,9.785,0.229,8.356,0.229,17.682,0.208,2.474,1.094,8.895,0.172,10.757,0.578,15.731,0.531,8.393,0.344,15.158,0.455,7.232,0.625,6.026,1.091
7.84,0.243,9.845,0.257,8.317,0.257,17.459,0.194,2.361,1.094,8.969,0.141,10.279,0.297,15.57,0.641,8.39,0.422,15.287,0.466,7.219,0.352,6.023,1.148
7.895,0.25,9.849,0.181,8.316,0.181,16.871,0.264,2.46,0.797,8.959,0.234,9.625,0.469,15.605,0.391,8.318,0.391,15.255,0.5,7.263,0.523,6.027,0.875
7.915,0.278,9.945,0.271,8.283,0.271,17.338,0.229,2.39,1.531,9.079,0.156,10.76,0.422,15.593,0.609,8.393,0.219,15.251,0.42,7.23,0.5,6.094,1.182
7.867,0.229,9.893,0.236,8.254,0.236,16.537,0.271,2.548,1.375,8.99,0.266,10.162,0.453,15.793,0.531,8.503,0.469,15.282,0.511,7.406,0.511,6.146,1.068
7.755,0.306,9.685,0.215,8.279,0.215,16.373,0.215,2.52,1.219,8.911,0.328,10.647,0.484,15.639,0.359,8.387,0.453,15.25,0.477,7.257,0.432,6.085,1.034
