Inap1__1,iNap1_1_BG,Inap1__2,iNap1_2_BG,Inap1__3,iNap1_3_BG,iNap1_4,iNap1_4_BG,iNap1_5,iNap1_5_BG,iNap1_6,iNap1_6_BG,iNap1_7,iNap1_7_BG,iNap1_8,iNap1_8_BG,iNap1_9,iNap1_9_BG,iNap1_10,iNap1_10_BG,iNap1_11,iNap1_11_BG,iNap1_12,iNap1_12_BG,INap1_13,INap1_13_BG,INap1_14,INap1_14_BG,INap1_15,INap1_15_BG
11.521,0.167,16.893,0.076,13.316,0.042,10.582,0.042,10.946,0.042,8.304,0,7.026,0,9.425,0.229,9.262,0.188,9.25,0.167,18.535,0.287,27.795,0.287,19.641,0.111,25.967,0.111,6.782,0.122
11.423,0.129,17.031,0.167,13.614,0.125,10.812,0.125,11.166,0.125,8.386,0.104,6.988,0.104,9.535,0,9.223,0.271,9.584,0.062,18.597,0.296,27.59,0.296,19.718,0.111,26.244,0.111,6.838,0.061
11.568,0.121,17.121,0.106,13.774,0.125,10.974,0.125,11.369,0.125,8.436,0.167,6.998,0.167,9.465,0.125,9.142,0.062,10.015,0.167,18.698,0.38,27.342,0.38,20.1,0.148,26.185,0.148,6.754,0.082
11.837,0.129,16.826,0.114,14.124,0.104,11.22,0.104,11.274,0.104,8.476,0.125,6.852,0.125,8.478,0.167,9.326,0.146,9.979,0.125,18.594,0.333,27.157,0.333,20.342,0.13,25.858,0.13,6.661,0.02
11.929,0.129,16.948,0.159,14.54,0.125,11.603,0.125,11.257,0.125,8.388,0.146,6.838,0.146,9.665,0.125,9.258,0.062,10.013,0.083,18.492,0.37,27.139,0.37,20.185,0.13,25.932,0.13,6.603,0.163
11.967,0.136,16.924,0.106,14.783,0.125,11.817,0.125,11.189,0.125,8.49,0.146,6.78,0.146,9.763,0.104,9.074,0.167,10,0.125,18.81,0.287,26.662,0.287,20.102,0.111,25.172,0.111,6.529,0.143
12.256,0.159,16.801,0.174,15.295,0.125,11.774,0.125,11.296,0.125,8.473,0.146,6.759,0.146,9.784,0.125,9.044,0.146,9.843,0.146,18.867,0.269,27.073,0.269,20.148,0.269,24.331,0.269,6.499,0.163
12.343,0.189,16.882,0.212,15.72,0.146,12.044,0.146,11.342,0.146,8.542,0.146,6.726,0.146,9.848,0.146,9.126,0.021,9.96,0.146,18.785,0.343,26.881,0.343,20.456,0.361,25.302,0.361,6.451,0.265
12.588,0.174,16.808,0.205,15.905,0.146,12.135,0.146,11.37,0.146,8.57,0.125,6.678,0.125,9.923,0.188,9.17,0.25,9.896,0.292,18.424,0.407,26.565,0.407,20.325,0.269,25.127,0.269,6.342,0.184
12.665,0.205,17.02,0.205,16.239,0.229,12.113,0.229,11.21,0.229,8.487,0.062,6.641,0.062,9.92,0.146,9.183,0.417,9.611,0.292,18.622,0.528,26.497,0.528,20.377,0.352,24.775,0.352,6.423,0.224
