kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_5-488,kl-3_5-BG,ND42_5-568,kl-3_5-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG
20.002,0.035,4.831,0.078,25.606,0.427,9.952,0.551,28.084,0.427,8.421,0.551,32.624,1.251,12.473,0.684,23.192,0.071,8.266,0.142,21.739,0.645,9.461,0.682,25.005,0.335,10.59,0.456,28.032,0.335,15.74,0.456,13.712,0.045,5.075,0.096,15.89,0.045,5.808,0.096,16.927,2.038,5.131,3.451,31.965,0.379,30.131,1.12,19.148,0.133,10.273,0.184,11.257,0.107,6.872,0.139,67.706,0.326,24.18,0.467
20.194,0.049,4.886,0.093,25.347,0.375,9.828,0.476,28.084,0.375,8.345,0.476,32.552,1.187,12.595,0.664,22.8,0.065,8.141,0.169,21.557,0.733,9.443,0.684,24.752,0.333,10.542,0.429,27.773,0.333,15.674,0.429,13.697,0.031,5.137,0.096,15.741,0.031,5.763,0.096,16.252,1.998,5.03,3.386,32.212,0.415,30.328,1.074,18.949,0.131,10.218,0.16,10.925,0.147,6.664,0.12,69.096,0.358,24.727,0.451
20.154,0.025,4.858,0.062,25.267,0.373,9.748,0.385,28.034,0.373,8.298,0.385,31.479,1.104,11.73,0.635,22.699,0.058,8.071,0.133,21.514,0.758,9.425,0.645,24.808,0.311,10.618,0.476,27.894,0.311,15.533,0.476,13.875,0.038,5.321,0.105,15.744,0.038,5.845,0.105,15.815,2.034,4.975,3.525,32.178,0.446,30.405,1.226,18.707,0.123,10.206,0.152,11.236,0.12,6.805,0.136,68.9,0.363,24.64,0.453
20.214,0.033,4.837,0.06,25.167,0.38,9.701,0.407,28.209,0.38,8.309,0.407,30.341,1.205,11.304,0.615,22.687,0.044,8.085,0.144,21.44,0.795,9.333,0.644,24.82,0.347,10.658,0.467,27.94,0.347,15.509,0.467,13.984,0.031,5.36,0.098,15.763,0.031,5.911,0.098,15.802,1.931,5.097,3.411,32.369,0.413,30.777,1.181,18.439,0.133,10.117,0.16,10.92,0.092,6.56,0.118,69.274,0.299,24.866,0.429
20.177,0.031,4.896,0.071,25.175,0.396,9.664,0.431,28.187,0.396,8.28,0.431,30.073,1.218,11.079,0.633,22.545,0.055,8.019,0.175,21.304,0.807,9.371,0.631,24.915,0.387,10.82,0.447,27.863,0.387,15.374,0.447,14.164,0.035,5.376,0.12,15.717,0.035,5.895,0.12,16.079,1.989,5.226,3.467,32.54,0.464,30.624,1.366,18.286,0.16,10.175,0.158,11.045,0.125,6.705,0.123,69.191,0.371,25.012,0.442
20.275,0.04,4.947,0.067,25.524,0.425,9.831,0.484,28.293,0.425,8.303,0.484,29.816,1.124,11.05,0.613,22.088,0.076,7.877,0.151,21.19,0.787,9.307,0.664,24.765,0.345,10.855,0.525,27.73,0.345,15.271,0.525,14,0.022,5.544,0.12,15.872,0.022,5.969,0.12,15.827,1.85,5.229,3.574,32.247,0.453,31.117,1.344,17.981,0.144,10.142,0.134,11.135,0.096,6.735,0.149,67.032,0.349,24.374,0.458
20.152,0.024,4.921,0.055,25.455,0.322,9.76,0.436,28.408,0.322,8.307,0.436,29.994,1.095,11.075,0.593,22.76,0.065,8.076,0.138,21.079,0.829,9.307,0.625,24.903,0.342,11.041,0.447,27.834,0.342,15.282,0.447,14.111,0.029,5.501,0.095,15.638,0.029,6.006,0.095,15.494,1.973,5.222,3.542,32.445,0.418,31.191,1.496,17.866,0.149,10.065,0.122,11.036,0.138,6.532,0.103,68.88,0.33,25,0.517
20.322,0.045,4.926,0.064,25.148,0.429,9.698,0.516,28.318,0.429,8.307,0.516,30.288,1.175,11.061,0.591,22.145,0.058,7.873,0.147,20.983,0.705,9.307,0.633,24.988,0.345,11.149,0.485,27.87,0.345,15.175,0.485,13.938,0.033,5.501,0.1,15.949,0.033,5.945,0.1,15.51,1.891,5.275,3.509,32.582,0.478,31.202,1.498,17.785,0.109,10.145,0.125,11.042,0.156,6.612,0.121,68.905,0.328,25.057,0.494
20.27,0.033,5.007,0.053,25.377,0.382,9.702,0.487,28.339,0.382,8.307,0.487,29.779,1.155,10.838,0.576,22.126,0.065,7.862,0.155,20.907,0.698,9.262,0.587,24.808,0.335,11.233,0.556,27.728,0.335,15.071,0.556,13.93,0.022,5.711,0.115,15.813,0.022,6.108,0.115,15.155,1.884,5.263,3.409,32.756,0.429,31.629,1.361,17.671,0.112,10.225,0.166,10.812,0.109,6.536,0.111,70.774,0.309,25.793,0.405
20.264,0.04,4.971,0.067,24.92,0.371,9.496,0.415,28.3,0.371,8.281,0.415,28.696,1.104,10.513,0.605,22.149,0.045,7.807,0.142,20.92,0.664,9.235,0.582,24.904,0.329,11.268,0.48,27.775,0.329,14.946,0.48,14.212,0.031,5.741,0.1,15.897,0.031,6.214,0.1,14.952,1.922,5.264,3.328,32.569,0.438,31.656,1.495,17.442,0.158,10.172,0.158,10.927,0.165,6.545,0.134,70.312,0.443,25.814,0.464
