HyPer_1,HyPer1_BG,HyPer_2,HyPer2_BG,HyPer_3,HyPer3_BG,HyPer4,HyPer4_BG,HyPer5,HyPer5_BG,HyPer6,HyPer6_BG,HyPer7,HyPer7_BG,HyPer8,HyPer8_BG,HyPer9,HyPer9_BG,HyPer10,HyPer10_BG,HyPer11,HyPer11_BG,HyPer12,HyPer12_BG,HyPer13,HyPer13_BG,HyPer14,HyPer14_BG,HyPer15,HyPer15_BG,HyPer16,HyPer16_BG,HyPer17,HyPer17_BG,HyPer18,HyPer18_BG
6.698,0.374,5.382,1.068,3.795,0.495,10.785,1.055,10.603,0.801,10.856,0.758,6.752,0.337,14.74,0.287,9.524,0.303,7.965,0.319,7.049,0.319,5.085,0.192,10.314,1.201,9.859,1.201,13.692,0.738,10.873,0.602,16.851,0.602,15.188,0.277
6.632,0.435,5.386,1.135,3.785,0.441,10.701,0.979,10.641,0.774,10.775,0.743,6.75,0.332,14.686,0.303,9.494,0.333,7.925,0.303,7.018,0.303,5.143,0.162,10.371,1.162,9.849,1.162,13.414,0.678,10.722,0.544,16.69,0.544,14.878,0.229
6.726,0.398,5.344,1.027,3.779,0.454,10.762,1.134,10.545,0.836,10.607,0.783,6.725,0.366,14.563,0.271,9.451,0.287,7.901,0.352,6.962,0.352,5.141,0.141,10.487,1.234,9.927,1.234,13.268,0.709,10.735,0.537,16.701,0.537,14.853,0.254
6.669,0.386,5.359,1.031,3.771,0.446,10.929,1.092,10.521,0.781,10.586,0.741,6.663,0.308,14.47,0.261,9.327,0.292,7.829,0.354,7.017,0.354,5.126,0.181,10.505,1.294,9.975,1.294,13.09,0.665,10.723,0.6,16.623,0.6,14.678,0.238
6.644,0.392,5.325,1.053,3.75,0.435,10.8,1.063,10.516,0.748,10.664,0.744,6.697,0.321,14.438,0.258,9.372,0.264,7.804,0.301,6.986,0.301,5.148,0.13,10.454,1.162,9.885,1.162,13.023,0.705,10.679,0.567,16.655,0.567,14.674,0.246
6.623,0.411,5.356,1.037,3.751,0.458,10.786,1.184,10.525,0.753,10.7,0.697,6.666,0.355,14.098,0.261,9.127,0.278,7.742,0.324,6.805,0.324,5.069,0.144,10.468,1.106,9.924,1.106,12.825,0.663,10.58,0.62,16.671,0.62,14.678,0.242
6.684,0.402,5.344,1.041,3.771,0.433,10.751,1.079,10.437,0.829,10.604,0.716,6.632,0.324,13.968,0.282,9.106,0.31,7.742,0.28,6.87,0.28,5.112,0.157,10.527,1.227,9.917,1.227,12.707,0.63,10.515,0.591,16.639,0.591,14.647,0.221
6.723,0.439,5.345,1.096,3.741,0.452,10.854,1.116,10.484,0.845,10.628,0.735,6.651,0.332,13.797,0.253,8.96,0.28,7.755,0.35,6.901,0.35,5.079,0.201,10.495,1.178,9.967,1.178,12.687,0.626,10.433,0.537,16.715,0.537,14.676,0.229
6.693,0.423,5.344,1.088,3.722,0.466,10.647,1.195,10.287,0.748,10.402,0.718,6.576,0.284,13.851,0.308,8.987,0.275,7.662,0.296,6.906,0.296,5.032,0.178,10.436,1.148,9.894,1.148,12.665,0.682,10.497,0.583,16.741,0.583,14.693,0.289
6.686,0.427,5.385,1.064,3.73,0.517,10.637,1.166,10.313,0.741,10.291,0.64,6.527,0.3,13.573,0.242,8.828,0.303,7.542,0.329,6.703,0.329,5.017,0.167,10.501,1.269,9.901,1.269,12.641,0.709,10.471,0.646,16.76,0.646,14.704,0.225
6.697,0.4,5.365,1.031,3.73,0.458,10.636,1.166,10.343,0.75,10.248,0.654,6.574,0.366,13.67,0.263,8.833,0.289,7.59,0.285,6.661,0.285,5.027,0.171,10.446,1.269,9.937,1.269,12.378,0.585,10.318,0.522,16.6,0.522,14.589,0.231
6.692,0.419,5.369,1.088,3.708,0.489,10.77,1.211,10.293,0.818,10.351,0.623,6.592,0.311,13.488,0.303,8.793,0.292,7.525,0.329,6.647,0.329,5.067,0.164,10.527,1.206,9.86,1.206,12.24,0.665,10.412,0.543,16.668,0.543,14.472,0.26
6.709,0.489,5.358,0.971,3.7,0.503,10.794,1.071,10.317,0.758,10.443,0.686,6.462,0.342,13.249,0.271,8.58,0.294,7.497,0.347,6.701,0.347,5.004,0.162,10.457,1.282,9.894,1.282,12.198,0.618,10.341,0.63,16.661,0.63,14.562,0.244
6.73,0.474,5.359,1.049,3.687,0.503,10.827,1.05,10.174,0.75,10.195,0.695,6.618,0.345,13.451,0.253,8.703,0.322,7.407,0.315,6.619,0.315,4.974,0.185,10.321,1.222,9.814,1.222,12.263,0.63,10.416,0.606,16.759,0.606,14.605,0.252
6.745,0.392,5.313,1.103,3.69,0.454,10.897,1.118,10.202,0.79,10.332,0.646,6.507,0.339,13.316,0.279,8.587,0.299,7.429,0.285,6.475,0.285,4.941,0.162,10.339,1.292,9.784,1.292,12.155,0.678,10.388,0.522,16.763,0.522,14.559,0.211
6.726,0.437,5.331,1.049,3.677,0.454,11.067,1.237,10.353,0.762,10.441,0.653,6.571,0.395,13.235,0.258,8.609,0.28,7.405,0.319,6.536,0.319,4.963,0.155,10.419,1.227,9.842,1.227,12.082,0.634,10.278,0.585,16.704,0.585,14.562,0.26
6.756,0.433,5.337,1.111,3.642,0.493,10.916,1.097,10.314,0.795,10.39,0.709,6.642,0.366,13.319,0.282,8.68,0.287,7.378,0.319,6.433,0.319,4.968,0.174,10.268,1.35,9.865,1.35,11.773,0.657,10.354,0.576,16.553,0.576,14.435,0.252
6.739,0.481,5.326,1.027,3.631,0.452,10.936,1.163,10.263,0.776,10.273,0.718,6.645,0.334,13.329,0.282,8.6,0.319,7.354,0.278,6.376,0.278,4.943,0.153,10.271,1.227,9.817,1.227,11.752,0.661,10.236,0.576,16.59,0.576,14.311,0.248
6.745,0.472,5.304,0.994,3.665,0.419,10.954,1.221,10.333,0.783,10.39,0.672,6.66,0.382,13.232,0.239,8.567,0.299,7.381,0.324,6.341,0.324,4.932,0.183,10.332,1.262,9.789,1.262,11.535,0.605,10.158,0.613,16.413,0.613,14.206,0.254
6.767,0.464,5.341,1.094,3.649,0.439,11.007,1.255,10.19,0.802,10.143,0.67,6.68,0.392,12.964,0.3,8.36,0.31,7.276,0.306,6.443,0.306,4.976,0.157,10.452,1.382,9.919,1.382,11.496,0.651,10.231,0.563,16.508,0.563,14.163,0.242
6.775,0.446,5.324,1.047,3.637,0.464,10.91,1.137,10.172,0.774,10.167,0.674,6.615,0.361,12.959,0.276,8.334,0.294,7.319,0.331,6.507,0.331,5.011,0.134,10.554,1.194,10.013,1.194,11.439,0.632,10.191,0.606,16.492,0.606,14.269,0.217
6.772,0.501,5.327,1.004,3.648,0.417,10.95,1.224,10.284,0.732,10.25,0.658,6.635,0.392,12.827,0.303,8.291,0.31,7.302,0.331,6.501,0.331,4.975,0.192,10.583,1.171,9.964,1.171,11.369,0.634,10.228,0.5,16.502,0.5,14.087,0.236
