Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG,Pgd_15-488,Pgd_15-BG,Pgd_15-568,Pgd_15-BG,Pgd_16-488,Pgd_16-BG,Pgd_16-568,Pgd_16-BG,Pgd_17-488,Pgd_17-BG,Pgd_17-568,Pgd_17-BG
13.213,0.077,29.155,0.014,33.611,0.135,53.75,0.029,54.391,0.029,39.213,0.005,56.435,0.139,44.69,0.019,57.014,0.139,41.809,0.019,46.41,0.995,82.214,0.164,90.818,0.995,97.037,0.164,87.497,0.995,82.114,0.164,21.884,0.026,28.789,0.015,25.832,0.036,36.731,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.166,0.062,29.155,0,33.908,0.087,53.795,0.038,53.569,0.058,38.614,0.014,56.859,0.077,44.77,0.034,56.748,0.077,41.462,0.034,47.284,0.764,81.913,0.154,91.311,0.764,96.89,0.154,87.217,0.764,80.946,0.154,21.775,0.056,28.542,0.021,25.481,0.031,36.206,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.069,0.082,28.786,0.005,34.443,0.144,53.923,0.024,54.396,0.053,39.209,0.01,57.34,0.082,44.467,0.034,56.484,0.082,41.05,0.034,48.637,0.959,81.934,0.103,93.229,0.959,97.198,0.103,89.094,0.959,81.527,0.103,21.634,0.026,28.421,0.015,25.441,0.036,36.136,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.966,0.077,28.692,0.01,35.101,0.101,54.137,0.014,54.415,0.038,39.236,0.005,57.994,0.067,44.662,0.038,56.396,0.067,40.826,0.038,50.095,0.841,81.905,0.133,94.464,0.841,97.031,0.133,89.287,0.841,81.135,0.133,21.359,0.015,27.841,0.01,25.049,0.041,35.507,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.937,0.058,28.678,0,35.778,0.13,54.508,0.034,55.044,0.053,39.644,0.005,58.365,0.067,44.369,0.024,55.972,0.067,40.457,0.024,51.818,0.928,82.325,0.169,96.469,0.928,97.197,0.169,91.135,0.928,81.503,0.169,20.966,0.005,27.197,0,24.512,0.01,34.759,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.689,0.058,28.406,0.024,36.104,0.087,54.515,0.01,54.859,0.058,39.272,0,58.851,0.062,44.363,0.01,55.672,0.062,40.148,0.01,52.842,0.851,81.782,0.169,97.586,0.851,96.971,0.169,91.171,0.851,80.844,0.169,20.644,0.015,26.758,0.01,23.922,0.041,33.854,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.794,0.091,28.26,0.014,36.396,0.115,54.161,0.024,54.667,0.019,39.007,0.014,59.263,0.082,44.423,0.034,55.463,0.082,39.996,0.034,54.232,1.062,81.484,0.082,98.566,1.062,96.683,0.082,91.83,1.062,80.751,0.082,20.677,0.005,26.564,0.015,23.442,0.015,33.328,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.62,0.048,28.034,0,36.7,0.12,54.209,0.038,54.872,0.038,39.279,0.014,59.561,0.077,44.379,0.014,55.62,0.077,39.906,0.014,55.43,0.908,81.366,0.087,100.29,0.908,97.1,0.087,92.789,0.908,80.774,0.087,20.418,0.015,26.369,0.005,23.407,0.051,33.207,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.584,0.091,27.762,0.019,37.266,0.154,54.196,0.038,54.563,0.029,38.893,0,60.046,0.072,44.276,0.019,55.354,0.072,39.532,0.019,56.121,0.974,80.397,0.118,100.517,0.974,96.324,0.118,92.121,0.974,79.415,0.118,20.366,0.01,26.122,0.01,23.114,0.036,32.646,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.544,0.038,27.622,0.019,37.74,0.106,54.094,0.014,54.385,0.043,38.497,0.005,60.199,0.058,44.307,0.043,55.413,0.058,39.502,0.043,57.485,1.046,80.76,0.118,102.017,1.046,96.311,0.118,92.748,1.046,79.482,0.118,19.987,0.005,25.889,0.021,22.881,0.051,32.207,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
