G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG,G6Pdh_6-488,G6Pdh_6-BG,G6Pdh_6-568,G6Pdh_6-BG,G6Pdh_7-488,G6Pdh_7-BG,G6Pdh_7-568,G6Pdh_7-BG,G6Pdh_8-488,G6Pdh_8-BG,G6Pdh_8-568,G6Pdh_8-BG,G6Pdh_9-488,G6Pdh_9-BG,G6Pdh_9-568,G6Pdh_9-BG,G6Pdh_10-488,G6Pdh_10-BG,G6Pdh_10-568,G6Pdh_10-BG,G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG
17.098,0.043,4.008,0.218,20.496,0.043,5.598,0.218,15.412,0.37,10.246,0.45,10.262,0.648,6.081,0.973,11.337,0.648,8.262,0.973,31.743,0.302,11.426,0.409,40.929,0.302,13.353,0.409,16.881,0.036,8.148,0.102,14.602,0.036,9.295,0.102,11.393,0.027,7.098,0.164,19.767,0.274,15.718,0.418,21.838,0.274,19.917,0.418,11.425,0.052,8.16,0.119,10.942,0.052,5.934,0.119,23.23,0.108,13.354,0.287
17.236,0.077,3.966,0.227,20.475,0.077,5.602,0.227,15.339,0.402,10.106,0.427,10.2,0.511,6.086,1.002,11.303,0.511,8.246,1.002,31.152,0.293,11.242,0.409,40.578,0.293,13.411,0.409,16.866,0.045,8.232,0.136,14.537,0.045,9.44,0.136,11.167,0.041,7.123,0.118,19.558,0.234,15.794,0.378,21.793,0.234,19.983,0.378,11.379,0.077,8.015,0.126,10.936,0.077,5.862,0.126,23.171,0.133,13.256,0.225
17.401,0.064,4.05,0.198,20.686,0.064,5.644,0.198,15.624,0.42,10.276,0.443,10.257,0.586,6.055,0.891,11.332,0.586,8.267,0.891,31.373,0.255,11.415,0.375,40.844,0.255,13.603,0.375,16.707,0.039,8.206,0.111,14.366,0.039,9.418,0.111,11.242,0.059,7.146,0.12,19.4,0.203,15.832,0.394,21.699,0.203,20.15,0.394,11.119,0.052,7.959,0.136,10.863,0.052,5.754,0.136,23.226,0.113,13.217,0.264
17.337,0.061,4.078,0.241,20.528,0.061,5.584,0.241,15.607,0.341,10.156,0.382,10.251,0.48,6.082,0.95,11.348,0.48,8.201,0.95,31.293,0.218,11.429,0.311,40.91,0.218,13.676,0.311,16.648,0.043,8.243,0.098,14.094,0.043,9.487,0.098,11.229,0.041,7.272,0.123,19.27,0.206,15.913,0.376,21.687,0.206,20.272,0.376,11.127,0.067,7.967,0.126,10.836,0.067,5.729,0.126,23.109,0.135,13.307,0.279
17.296,0.098,4.127,0.207,20.505,0.098,5.51,0.207,15.467,0.352,10.033,0.405,10.229,0.539,6.03,0.957,11.303,0.539,8.123,0.957,31.101,0.27,11.432,0.302,40.704,0.27,13.526,0.302,16.464,0.032,8.208,0.107,13.986,0.032,9.482,0.107,11.165,0.061,7.316,0.123,19.208,0.252,15.991,0.354,21.635,0.252,20.366,0.354,10.947,0.077,7.725,0.126,10.817,0.077,5.655,0.126,22.879,0.132,13.315,0.273
17.293,0.064,4.097,0.252,20.431,0.064,5.478,0.252,15.43,0.373,10.007,0.386,10.183,0.498,5.959,0.886,11.315,0.498,8.152,0.886,31.529,0.239,11.583,0.345,41.407,0.239,13.682,0.345,16.484,0.068,8.207,0.107,14.014,0.068,9.538,0.107,11.008,0.048,7.309,0.136,19.117,0.225,16.029,0.375,21.685,0.225,20.418,0.375,10.833,0.071,7.739,0.12,10.733,0.071,5.701,0.12,22.646,0.124,13.376,0.262
17.085,0.059,4.121,0.218,20.168,0.059,5.413,0.218,15.403,0.377,9.879,0.405,10.065,0.568,5.982,0.966,11.322,0.568,8.139,0.966,30.644,0.22,11.464,0.375,40.434,0.22,13.75,0.375,16.368,0.032,8.319,0.109,13.851,0.032,9.587,0.109,11.101,0.048,7.347,0.109,18.963,0.2,15.953,0.342,21.708,0.2,20.437,0.342,10.868,0.073,7.766,0.101,10.624,0.073,5.641,0.101,22.659,0.12,13.456,0.243
17.049,0.08,4.086,0.205,20.015,0.08,5.361,0.205,15.289,0.393,9.862,0.407,10.027,0.491,5.867,0.873,11.248,0.491,8.126,0.873,30.066,0.245,11.245,0.361,41.34,0.245,14.1,0.361,16.314,0.041,8.406,0.105,13.736,0.041,9.518,0.105,11.019,0.043,7.472,0.098,18.83,0.243,16.004,0.357,21.652,0.243,20.605,0.357,10.744,0.07,7.704,0.096,10.651,0.07,5.572,0.096,22.564,0.136,13.5,0.258
16.857,0.057,4.078,0.227,19.909,0.057,5.322,0.227,15.392,0.334,9.778,0.393,9.994,0.545,5.822,0.918,11.251,0.545,8.13,0.918,30.739,0.205,11.443,0.318,41.414,0.205,13.972,0.318,15.968,0.052,8.273,0.089,13.472,0.052,9.56,0.089,10.925,0.052,7.401,0.127,18.79,0.231,16.063,0.36,21.628,0.231,20.741,0.36,10.835,0.064,7.746,0.127,10.551,0.064,5.604,0.127,22.852,0.133,13.399,0.25
17.053,0.082,4.125,0.22,19.861,0.082,5.311,0.22,15.348,0.373,9.733,0.391,10.061,0.518,5.776,0.925,11.323,0.518,8.09,0.925,29.843,0.186,11.314,0.305,41.279,0.186,14.139,0.305,15.942,0.041,8.329,0.075,13.229,0.041,9.572,0.075,10.956,0.036,7.498,0.102,18.542,0.258,16.03,0.344,21.677,0.258,20.81,0.344,10.583,0.046,7.557,0.108,10.539,0.046,5.586,0.108,22.466,0.119,13.265,0.224
