kl-3_1-405,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-405,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-405,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-405,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-405,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-405,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-405,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-405,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-405,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-405,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-405,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-405,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-405,kl-3_13-BG,kl-3_13-568,kl-3_13-BG
13.461,0.157,22.808,0,23.415,0.157,45.818,0,7.864,0.1,80.561,0.014,7.671,0.1,73.793,0.014,20.987,0.271,84.014,0,36.864,0.443,136.415,0.071,16.829,0.443,56.177,0.071,18.492,0.653,56.79,0,33.591,0.653,116.873,0,25.396,0.236,67.929,0.028,32.469,0.069,92.734,0,28.226,0.045,92.561,0.487,30.448,0.045,90.058,0.487
14.28,0.1,23.572,0,23.266,0.143,46.002,0,8.02,0.171,81.275,0.014,7.515,0.171,73.539,0.014,20.948,0.257,83.206,0,36.459,0.471,135.813,0.129,16.925,0.471,54.467,0.129,19.288,0.51,59.042,0.102,33.652,0.51,118.205,0.102,25.189,0.194,67.822,0.028,31.929,0.111,92.073,0.014,28.293,0.011,92.394,0.577,30.629,0.011,91.191,0.577
14.216,0.186,23.895,0.014,22.884,0.071,45.764,0,7.825,0.1,79.998,0.014,7.427,0.1,72.331,0.014,20.654,0.114,82.173,0.014,36.157,0.571,134.724,0.129,18.365,0.571,61.652,0.129,24.249,0.531,77.069,0,33.998,0.531,117.484,0,24.857,0.167,66.994,0,31.463,0.125,90.875,0.014,27.559,0.034,91.494,0.551,30.562,0.034,90.655,0.551
14.232,0.086,24.194,0,22.97,0.143,46.204,0.031,7.782,0.057,78.65,0.014,7.554,0.057,71.018,0.014,20.332,0.186,82.048,0,36.272,0.514,135.71,0.129,19.862,0.514,67.525,0.129,21.94,0.571,68.465,0.082,35.199,0.571,123.039,0.082,24.339,0.181,66.036,0,30.969,0.153,90.028,0.014,27.623,0,91.558,0.5,30.112,0,90.457,0.5
14.145,0.2,24.047,0,23.084,0.143,46.327,0,7.836,0.143,79.02,0,7.508,0.143,70.976,0,20.28,0.1,81.131,0.014,35.578,0.357,133.699,0.057,18.912,0.357,65.442,0.057,21.297,0.49,68.997,0.061,35.191,0.49,123.596,0.061,24.147,0.194,65.968,0,31.453,0.181,90.181,0,27.548,0.057,91.132,0.564,30.428,0.057,91.21,0.564
13.907,0.2,23.816,0,22.48,0.186,45.718,0,8.034,0.129,78.445,0.014,7.322,0.129,71.192,0.014,20.275,0.1,81.861,0,35.488,0.343,134.494,0.1,19.796,0.343,67.92,0.1,20.108,0.306,65.94,0,35.116,0.306,124.617,0,24.076,0.139,65.802,0.014,31.331,0.125,89.684,0,27.454,0.023,91.388,0.538,29.814,0.023,90.896,0.538
13.498,0.1,23.162,0,21.517,0.129,44.146,0,7.825,0.114,79.652,0,7.666,0.114,71.63,0,20.41,0.143,81.002,0.014,34.406,0.471,133.417,0.114,19.831,0.471,67.956,0.114,21.246,0.306,70.084,0.041,34.206,0.306,121.811,0.041,23.663,0.153,65.043,0,31.322,0.153,90.517,0,27.531,0.045,91.283,0.577,30.111,0.045,91.49,0.577
13.935,0.2,23.693,0,22.171,0.186,45.728,0,7.95,0.2,79.589,0,7.448,0.2,72.241,0,20.425,0.1,81.465,0,34.703,0.4,133.949,0.1,17.384,0.4,59.552,0.1,19.009,0.735,59.853,0.061,31.694,0.735,113.618,0.061,23.454,0.236,64.821,0.014,30.461,0.083,89.051,0,27.391,0.091,91.003,0.474,30.675,0.091,92.793,0.474
13.653,0.157,23.559,0,21.638,0.086,44.984,0,7.78,0.071,79.377,0.029,7.464,0.071,72.327,0.029,20.319,0.2,81.331,0.014,34.449,0.343,133.179,0.143,19.047,0.343,65.083,0.143,22.33,0.49,74.432,0.082,32.867,0.49,119.582,0.082,23.214,0.208,63.986,0,30.247,0.111,88.759,0,27.281,0.045,91.298,0.59,30.531,0.045,92.901,0.59
13.478,0.086,23.943,0,21.889,0.157,45.7,0,7.902,0.1,79.141,0,7.269,0.1,71.954,0,20.225,0.2,81.713,0,34.759,0.414,135.346,0.1,18.287,0.414,62.635,0.1,20.928,0.306,71.514,0.02,32.241,0.306,116.868,0.02,23.227,0.167,64.077,0,30.148,0.139,88.285,0,27.277,0.057,90.433,0.551,30.576,0.057,93.145,0.551
13.491,0.2,24.212,0.029,21.863,0.129,45.806,0,7.911,0.043,79.145,0,7.386,0.043,72.544,0,20.611,0.157,81.895,0,34.367,0.414,134.62,0.186,18.776,0.414,65.323,0.186,20.108,0.265,64.601,0.061,32.747,0.265,118.355,0.061,23.009,0.153,63.568,0,30.143,0.139,88.179,0.028,27.139,0.034,90.571,0.397,30.527,0.034,92.281,0.397
13.753,0.157,24.359,0,21.586,0.071,45.638,0,7.952,0.1,79.289,0.014,7.039,0.1,71.865,0.014,20.306,0.157,81.636,0,34.02,0.443,132.956,0.114,18.367,0.443,63.448,0.114,22.021,0.469,73.562,0.02,32.938,0.469,120.771,0.02,23.09,0.014,63.81,0,29.974,0.083,88.213,0.014,26.965,0.068,90.469,0.603,30.892,0.068,92.34,0.603
13.726,0.157,24.418,0.014,21.456,0.114,44.965,0,8.036,0.1,79.452,0.014,7.331,0.1,71.796,0.014,20.257,0.157,82.241,0.014,33.997,0.443,133.576,0.071,19.365,0.443,67.039,0.071,22.7,0.347,76.486,0.02,32.778,0.347,120.334,0.02,22.703,0.278,62.688,0.014,30.002,0.181,87.893,0,27.487,0.034,90.755,0.526,30.574,0.034,92.18,0.526
13.475,0.143,24.414,0,21.385,0.129,44.908,0.031,7.702,0.114,78.575,0.014,7.331,0.114,71.601,0.014,20.522,0.157,81.448,0.014,33.937,0.457,133.694,0.157,20.472,0.457,68.967,0.157,19.823,0.49,66.102,0.041,32.617,0.49,119.933,0.041,22.376,0.153,62.495,0,30.343,0.167,88.024,0,27.01,0.068,90.684,0.436,30.257,0.068,91.738,0.436
13.482,0.057,24.529,0,21.185,0.157,44.92,0,8.077,0.157,78.718,0,7.243,0.157,72.077,0,20.505,0.157,82.007,0,33.901,0.586,133.145,0.186,21.03,0.586,71.685,0.186,19.297,0.224,63.91,0.061,32.577,0.224,121.295,0.061,22.242,0.181,62.156,0.042,29.947,0.181,87.911,0,27.048,0.045,90.556,0.474,29.119,0.045,87.566,0.474
13.566,0.157,24.345,0.029,21.389,0.143,44.898,0.031,7.961,0.114,79.22,0.029,7.192,0.114,71.723,0.029,20.71,0.143,81.924,0.014,32.461,0.386,130.464,0.071,20.586,0.386,69.296,0.071,20.357,0.51,67.997,0,32.217,0.51,121.155,0,22.117,0.083,61.968,0.014,30.16,0.167,88.731,0.028,27.268,0.068,90.702,0.603,28.959,0.068,87.944,0.603
13.285,0.171,24.592,0.014,21.237,0.1,45.432,0,8.23,0.129,79.593,0.014,7.249,0.129,71.733,0.014,20.885,0.171,82.12,0,33.39,0.386,134.351,0.029,20.453,0.386,70.202,0.029,20.937,0.327,72.408,0.082,32.271,0.327,121.496,0.082,21.899,0.153,61.676,0.028,30.952,0.167,90.019,0,27.827,0.091,90.628,0.359,29.105,0.091,89.268,0.359
12.904,0.2,23.875,0,20.899,0.143,44.898,0,7.964,0.129,79.434,0,7.189,0.129,71.314,0,20.737,0.2,82.332,0,33.603,0.414,134.664,0.143,21.039,0.414,71.644,0.143,21.192,0.449,71.429,0.041,32.412,0.449,121.582,0.041,22.089,0.153,61.829,0.014,31.091,0.153,88.991,0,26.909,0.023,91.194,0.487,29.249,0.023,90.609,0.487
