kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG,kl-3_17-488,kl-3_17-BG,kl-3_17-568,kl-3_17-BG
37.252,0.655,29.245,0.101,29.188,0.055,38.575,0.021,25.817,0.524,23.664,0.053,43.502,0.078,26.908,0.013,72.912,0.078,37.45,0.013,17.742,0.111,65.423,0.043,7.292,0.111,38.679,0.043,22.805,0.226,36.168,0.077,27.772,0.226,40.128,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.803,0.716,29.363,0.126,29.621,0.057,38.421,0.01,26.029,0.537,23.623,0.023,44.29,0.067,26.942,0.011,73.325,0.067,37.474,0.011,17.942,0.159,64.968,0.029,7.483,0.159,40.06,0.029,22.576,0.183,35.685,0.096,27.631,0.183,39.564,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.309,0.63,29.307,0.093,29.551,0.057,37.921,0.03,26.047,0.482,23.46,0.059,44.73,0.069,27.045,0.017,73.349,0.069,37.592,0.017,18.174,0.149,64.955,0.043,7.227,0.149,39.174,0.043,22.59,0.231,35.739,0.029,27.507,0.231,39.856,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.581,0.65,29.305,0.103,30.313,0.044,38.342,0.021,26.222,0.461,23.425,0.042,45.009,0.076,26.569,0.015,73.015,0.076,37.29,0.015,18.212,0.125,64.437,0.029,7.109,0.125,39.079,0.029,22.425,0.221,35.316,0.087,27.421,0.221,39.527,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.112,0.68,29.309,0.095,30.871,0.07,38.658,0.019,26.248,0.539,23.233,0.029,45.453,0.074,26.48,0.015,72.683,0.074,36.994,0.015,18.485,0.139,64.597,0.024,6.936,0.139,38.028,0.024,22.384,0.317,35.23,0.106,27.314,0.317,39.242,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.455,0.642,29.31,0.084,31.797,0.055,39.165,0.019,26.166,0.469,22.952,0.051,45.566,0.072,26.218,0.019,72.373,0.072,36.795,0.019,18.706,0.13,64.965,0.034,6.881,0.13,38.121,0.034,22.064,0.236,34.67,0.072,27.006,0.236,38.574,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.941,0.617,29.347,0.109,31.928,0.053,38.943,0.017,26.252,0.547,22.844,0.038,45.687,0.069,26.013,0.01,72.189,0.069,36.5,0.01,18.914,0.12,64.449,0.019,6.9,0.12,38.531,0.019,21.628,0.288,33.859,0.072,26.592,0.288,38.318,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.232,0.512,29.383,0.11,32.288,0.076,38.649,0.029,26.321,0.507,22.72,0.048,46.211,0.063,25.983,0.021,71.893,0.063,36.386,0.021,19.184,0.135,64.673,0.034,6.755,0.135,37.913,0.034,21.149,0.337,33.091,0.111,26.188,0.337,37.714,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.687,0.615,29.325,0.099,32.527,0.08,38.55,0.023,26.541,0.514,22.685,0.04,46.809,0.09,25.879,0.023,72.233,0.09,36.189,0.023,19.362,0.173,64.407,0.019,6.775,0.173,38.203,0.019,20.808,0.293,32.38,0.101,25.879,0.293,37.161,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.92,0.592,29.321,0.078,33.205,0.065,38.813,0.025,26.387,0.434,22.392,0.05,46.981,0.057,25.702,0.01,71.576,0.057,36.107,0.01,19.685,0.139,64.012,0.024,7.128,0.139,41.713,0.024,20.676,0.255,32.147,0.058,26.102,0.255,36.969,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.098,0.606,29.29,0.082,33.467,0.038,38.676,0.019,26.378,0.486,22.228,0.046,47.03,0.063,25.546,0.008,71.323,0.063,35.961,0.008,19.82,0.115,64.139,0.034,6.636,0.115,38.328,0.034,20.12,0.279,31.164,0.058,25.554,0.279,36.354,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.726,0.533,29.422,0.103,33.622,0.065,38.378,0.027,26.436,0.497,22.151,0.05,47.338,0.063,25.472,0.017,71.121,0.063,35.885,0.017,20.238,0.139,64.079,0.029,6.482,0.139,37.042,0.029,20.079,0.163,31.159,0.096,25.387,0.163,36.05,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.065,0.573,29.429,0.09,34.093,0.076,38.368,0.017,26.681,0.516,22.303,0.034,48.115,0.057,25.618,0.01,71.451,0.057,35.846,0.01,20.372,0.144,64.05,0.024,6.849,0.144,40.141,0.024,19.725,0.24,30.546,0.072,25.152,0.24,35.55,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.439,0.522,29.489,0.103,34.178,0.051,38.003,0.008,26.531,0.467,21.894,0.023,47.66,0.061,25.017,0.013,70.119,0.061,35.277,0.013,20.654,0.154,64.227,0.024,6.657,0.154,37.808,0.024,19.774,0.24,30.563,0.091,25.113,0.24,35.67,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.702,0.484,29.4,0.112,34.85,0.059,38.271,0.034,26.56,0.533,21.693,0.036,47.712,0.069,24.968,0.011,69.932,0.069,35.112,0.011,21.049,0.149,64.078,0.024,6.672,0.149,38.881,0.024,19.468,0.255,30.054,0.115,24.886,0.255,35.27,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.149,0.499,29.411,0.061,35.502,0.091,38.584,0.019,26.553,0.457,21.413,0.034,47.856,0.076,24.699,0.01,69.282,0.076,34.79,0.01,21.356,0.168,64.33,0.019,6.728,0.168,39.557,0.019,19.178,0.312,29.588,0.072,24.379,0.312,34.813,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.739,0.507,29.445,0.072,35.726,0.051,38.349,0.029,26.745,0.524,21.451,0.029,48.442,0.069,24.685,0.004,69.509,0.069,34.764,0.004,21.862,0.139,65.076,0.048,6.917,0.139,41.398,0.048,19.003,0.264,29.183,0.067,24.451,0.264,34.657,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.822,0.501,29.325,0.097,36.107,0.05,38.28,0.019,26.702,0.427,21.359,0.05,48.154,0.08,24.465,0.008,69.001,0.08,34.437,0.008,21.971,0.135,64.221,0.038,6.788,0.135,39.826,0.038,18.714,0.332,28.766,0.082,24.32,0.332,34.48,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.43,0.56,29.498,0.097,36.378,0.044,38.06,0.025,26.869,0.503,21.272,0.034,48.981,0.055,24.488,0.006,69.213,0.055,34.652,0.006,22.092,0.139,64.153,0.034,6.297,0.139,36.584,0.034,18.845,0.255,28.86,0.091,24.6,0.255,34.451,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.555,0.564,29.424,0.086,37.126,0.051,38.344,0.021,27.04,0.566,21.24,0.032,49.161,0.09,24.363,0.01,69.045,0.09,34.545,0.01,22.246,0.207,64.415,0.014,6.437,0.207,37.307,0.014,18.76,0.293,28.597,0.101,24.168,0.293,34.072,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
