C199S_1,C199S1_BG,C199S_2,C199S2_BG,C199S_3,C199S3_BG,C199S4,C199S4_BG,C199S5,C199S5_BG,C199S6,C199S6_BG,C199S7,C199S7_BG,C199S8,C199S8_BG,C199S9,C199S9_BG,C199S10,C199S10_BG,C199S11,C199S11_BG,C199S12,C199S12_BG,C199S13,C199S13_BG,C199S14,C199S14_BG,C199S15,C199S15_BG,C199S16,C199S16_BG
4.806,0.417,6.442,0.356,6.114,0.342,14.391,1.648,10.233,0.832,7.558,0.257,6.643,0.337,9.748,0.337,9.051,0.158,8.195,0.214,8.616,0.517,10.86,0.526,1.763,0.678,8.697,0.662,8.197,0.662,9.837,0.388
4.798,0.423,6.426,0.296,6.087,0.391,14.483,1.581,10.393,0.724,7.567,0.324,6.822,0.449,9.948,0.449,9.166,0.148,8.388,0.184,8.589,0.523,10.941,0.554,1.756,0.698,8.801,0.598,8.218,0.598,9.861,0.413
4.818,0.411,6.454,0.32,6.095,0.33,14.45,1.577,10.354,0.847,7.598,0.31,6.923,0.474,9.961,0.474,9.3,0.153,8.431,0.184,8.68,0.501,10.973,0.552,1.773,0.648,8.766,0.656,8.186,0.656,9.908,0.458
4.836,0.375,6.492,0.306,6.076,0.316,14.492,1.572,10.402,0.934,7.561,0.237,7.062,0.439,10.103,0.439,9.372,0.148,8.472,0.24,8.723,0.51,11.048,0.523,1.762,0.688,8.797,0.64,8.2,0.64,9.863,0.388
4.822,0.441,6.447,0.32,6.1,0.328,14.671,1.656,10.328,0.781,7.562,0.283,6.945,0.398,10.024,0.398,9.375,0.184,8.549,0.214,8.759,0.525,11.23,0.53,1.769,0.659,8.812,0.635,8.132,0.635,9.85,0.393
4.883,0.437,6.421,0.285,6.116,0.342,14.533,1.512,10.393,0.755,7.555,0.253,7.225,0.515,10.303,0.515,9.57,0.148,8.682,0.23,8.826,0.515,11.038,0.571,1.766,0.757,8.803,0.611,8.19,0.611,9.863,0.385
4.896,0.413,6.416,0.296,6.151,0.275,14.551,1.706,10.482,0.939,7.544,0.249,7.059,0.469,10.111,0.469,9.462,0.158,8.584,0.224,8.792,0.464,11.132,0.539,1.776,0.653,8.863,0.645,8.177,0.645,9.895,0.414
4.897,0.368,6.439,0.316,6.164,0.338,14.781,1.665,10.496,0.821,7.615,0.289,7.1,0.367,10.264,0.367,9.464,0.199,8.548,0.163,8.82,0.528,11.237,0.557,1.762,0.715,8.893,0.642,8.22,0.642,9.964,0.393
4.879,0.429,6.481,0.326,6.179,0.322,14.606,1.667,10.623,0.76,7.57,0.253,7.17,0.362,10.327,0.362,9.307,0.199,8.433,0.179,8.895,0.522,11.278,0.485,1.772,0.666,8.929,0.669,8.298,0.669,10.076,0.422
4.868,0.435,6.465,0.241,6.143,0.314,14.673,1.517,10.56,0.714,7.572,0.271,7.209,0.418,10.245,0.418,9.137,0.092,8.232,0.24,8.865,0.512,11.258,0.549,1.743,0.642,8.941,0.642,8.224,0.642,9.907,0.393
4.805,0.391,6.443,0.298,6.101,0.314,14.434,1.66,10.433,0.898,7.559,0.269,7.046,0.393,10.202,0.393,9.033,0.163,8.074,0.153,8.941,0.514,11.357,0.515,1.764,0.666,8.87,0.606,8.085,0.606,9.819,0.4
4.886,0.457,6.395,0.291,6.057,0.298,14.085,1.464,10.136,0.776,7.433,0.265,6.992,0.372,10.199,0.372,8.942,0.122,7.921,0.235,8.87,0.494,11.234,0.493,1.765,0.704,8.764,0.584,8.005,0.584,9.776,0.354
4.779,0.427,6.374,0.229,5.966,0.318,13.945,1.467,10.195,0.862,7.478,0.253,6.883,0.296,10.088,0.296,8.827,0.163,7.794,0.219,8.945,0.531,11.318,0.483,1.767,0.662,8.824,0.581,7.942,0.581,9.726,0.367
