kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG
23.891,0.544,7.747,0.6,23.544,0.2,8.36,0.167,50.162,0.378,14.486,0.222,37.405,2.267,19.928,2.689,36.109,2.267,11.81,2.689,39.588,2.111,21.506,1.567,60.685,0.467,21.31,0.411,32.753,2.333,13.676,2.811,40.901,0.167,12.916,0.244,52.711,0.254,14.965,0.365,51.722,0.254,19.548,0.365,74.767,0.429,28.809,0.317,63.665,0.413,20.998,0.333,78.477,0.397,20.72,0.46,58.153,0.397,24.509,0.46,66.053,0.19,23.786,0.127
23.658,0.756,7.759,0.733,23.414,0.244,8.382,0.144,50.554,0.256,14.542,0.256,38.267,2.022,20.26,3.033,36.192,2.022,11.886,3.033,39.618,1.811,21.711,1.6,59.684,0.3,21.108,0.389,32.458,1.856,13.465,2.811,40.988,0.144,12.784,0.222,52.843,0.365,14.71,0.27,51.355,0.365,19.303,0.27,74.237,0.381,28.39,0.397,63.517,0.46,20.821,0.254,78.525,0.317,20.758,0.429,57.893,0.317,24.411,0.429,66.067,0.175,23.687,0.238
23.635,0.556,7.731,0.689,23.383,0.144,8.411,0.1,50.536,0.278,14.64,0.311,38.945,2.344,20.279,2.9,36.209,2.344,11.943,2.9,39.66,1.933,21.962,1.489,59.418,0.333,21.082,0.489,32.447,2.444,13.465,2.622,40.52,0.178,12.716,0.156,53.39,0.286,14.923,0.413,51.161,0.286,19.188,0.413,74.133,0.333,28.511,0.317,63.543,0.381,20.872,0.238,77.548,0.349,20.709,0.413,58.017,0.349,24.013,0.413,65.49,0.143,23.997,0.175
23.753,0.611,7.632,0.611,23.461,0.267,8.461,0.078,50.274,0.267,14.473,0.278,38.867,2.522,20.426,2.822,36.191,2.522,11.969,2.822,39.56,1.8,21.921,1.544,60.165,0.333,21.348,0.389,32.527,2.356,13.526,2.578,40.18,0.1,12.668,0.156,53.469,0.222,14.849,0.302,50.97,0.222,18.924,0.302,73.981,0.349,28.933,0.302,63.033,0.317,20.779,0.349,77.653,0.413,20.783,0.413,58.235,0.413,23.949,0.413,65.759,0.016,23.711,0.238
23.742,0.622,7.602,0.689,23.489,0.2,8.342,0.133,50.158,0.356,14.528,0.311,38.556,2.144,20.19,2.867,35.89,2.144,11.955,2.867,39.077,1.756,21.876,1.567,60.731,0.378,21.383,0.333,31.448,2.444,13.218,2.8,40.491,0.189,12.489,0.122,53.28,0.302,14.902,0.254,50.674,0.302,18.775,0.254,74.041,0.333,28.854,0.333,62.962,0.286,20.661,0.286,76.938,0.476,20.696,0.444,57.888,0.476,23.867,0.444,65.54,0.127,23.475,0.159
23.509,0.644,7.707,0.7,23.444,0.233,8.345,0.144,50.184,0.378,14.619,0.444,38.921,2.389,19.843,2.822,35.988,2.389,11.937,2.822,39.34,1.789,22,1.3,60.531,0.311,21.45,0.411,32.418,2.533,13.47,2.956,40.103,0.122,12.431,0.089,53.354,0.175,14.888,0.222,50.697,0.175,18.619,0.222,74.277,0.413,28.807,0.286,62.903,0.19,20.69,0.365,76.85,0.302,20.686,0.587,57.832,0.302,23.685,0.587,65.749,0.175,23.887,0.159
23.353,0.644,7.5,0.844,23.272,0.167,8.403,0.111,49.951,0.256,14.702,0.244,38.816,1.944,19.839,2.978,35.862,1.944,11.851,2.978,39.321,1.756,22.157,1.778,60.566,0.367,21.311,0.322,32.197,2.767,13.383,2.833,40.092,0.189,12.522,0.189,53.418,0.127,14.885,0.365,50.445,0.127,18.457,0.365,73.669,0.27,28.896,0.349,62.316,0.413,20.664,0.349,77.061,0.413,20.732,0.397,57.414,0.413,23.508,0.397,65.646,0.111,24.134,0.095
23.43,0.633,7.61,0.644,23.289,0.222,8.401,0.189,50.191,0.189,14.719,0.267,39.035,2.033,19.983,2.711,36.286,2.033,12.087,2.711,39.814,1.856,22.597,1.556,60.45,0.356,21.64,0.278,32.358,2.422,13.555,2.867,40.16,0.222,12.425,0.167,52.884,0.333,14.934,0.302,50.081,0.333,18.437,0.302,73.325,0.27,29.049,0.397,62.204,0.317,20.547,0.27,77.262,0.508,20.848,0.381,57.415,0.508,23.338,0.381,65.626,0.175,23.963,0.238
23.707,0.733,7.705,0.656,23.239,0.233,8.554,0.2,50.074,0.333,14.683,0.311,38.702,2.144,20.045,2.867,35.976,2.144,12.141,2.867,39.179,2.011,22.418,1.522,60.045,0.256,21.491,0.433,32.22,2.722,13.408,2.256,40.054,0.144,12.447,0.178,52.98,0.302,14.857,0.317,49.54,0.302,17.906,0.317,73.151,0.333,28.838,0.317,61.884,0.27,20.336,0.19,76.847,0.46,20.826,0.508,57.3,0.46,23.394,0.508,65.274,0.079,24.1,0.063
23.465,0.6,7.713,0.544,23.418,0.267,8.56,0.133,50.312,0.344,14.871,0.2,38.198,2.133,19.928,2.722,35.943,2.133,12.158,2.722,39.264,1.689,22.512,1.567,60.129,0.478,21.366,0.389,32.044,2.556,13.422,2.944,39.689,0.1,12.403,0.3,53.161,0.19,14.739,0.508,49.634,0.19,17.992,0.508,73.914,0.349,29.034,0.46,61.571,0.333,20.454,0.429,76.926,0.286,20.702,0.46,57.558,0.286,23.115,0.46,65.107,0.19,24.078,0.127
